Codigo,Nombre Oferta,Empresa,Ubicacion,Modalidad,Seniority,Nivel_Educacion,Anios_Experiencia,Salario_COP,Salario_Millones,Habilidad,URL
8F5F2E33B1F632A161373E686DCF3405,Científico de Datos Junior,NEXA BPO,"4,4",Presencial y remoto,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,3250000.0,3.25,"AWS, NLP / LLMs, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-junior-en-bogota-dc-8F5F2E33B1F632A161373E686DCF3405#lc=ListOffers-Score4-10
A07C908FD7DDE2D261373E686DCF3405,Científico de datos  Python y R,As Talento SAS,"Bogotá, D.C., Bogotá, D.C.",Remoto,Semi-Senior (2-3 años),Postgrado / Maestría,3,,,"Python, R, AWS, Machine Learning General, Scikit-Learn, Estadística / Modelamiento, MLOps",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-python-y-r-python-y-r-en-bogota-dc-A07C908FD7DDE2D261373E686DCF3405#lc=ListOffers-Score4-11
7430872D4BA44D7461373E686DCF3405,Analista de datos,Confidencial / No especificada,"Barranquilla, Atlántico",No especificada,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,3000000.0,3.0,"Python, R, SQL, Power BI, Excel Avanzado, Machine Learning General",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-cientifico-de-datos-en-barranquilla-7430872D4BA44D7461373E686DCF3405#lc=ListOffers-Score4-12
83A345050F2E833261373E686DCF3405,Científico de Datos,Confidencial / No especificada,"Bogotá, D.C., Bogotá, D.C.",Presencial y remoto,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,3250600.0,3.2506,"Power BI, AWS, NLP / LLMs, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-conocimiento-en-aws-en-bogota-dc-83A345050F2E833261373E686DCF3405#lc=ListOffers-Score4-13
A3F6E52C375CA7E961373E686DCF3405,Mid/Senior Data Scientist,TECH365 S.A.S.,"Medellín, Antioquia",Presencial y remoto,Semi-Senior (2-3 años),Universidad / Carrera técnica,3,,,"Python, SQL, Machine Learning General",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-midsenior-data-scientist-en-medellin-A3F6E52C375CA7E961373E686DCF3405#lc=ListOffers-Score4-14
3806322D2064E11A61373E686DCF3405,Científico de Datos Senior,Confidencial / No especificada,"Medellín, Antioquia",No especificada,Senior (4-5 años),Universidad / Carrera Profesional,4,5000000.0,5.0,"Python, Excel Avanzado, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-senior-para-medellin-en-medellin-3806322D2064E11A61373E686DCF3405#lc=ListOffers-Score4-15
CF6F6E9E16B17AB961373E686DCF3405,"Profesional II  Back (Bogotá, 113847)",NUEVA EPS S.A,"4,6",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3,5000000.0,5.0,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesional-ii-back-bogota-113847-en-bogota-dc-CF6F6E9E16B17AB961373E686DCF3405#lc=ListOffers-Score3-17
74942BE9629A76E661373E686DCF3405,"Analista de Investigación Clínica, Bogotá",ASOCIACION PROFAMILIA,"4,7",No especificada,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,,,"Python, R",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-investigacion-clinica-bogota-en-bogota-dc-74942BE9629A76E661373E686DCF3405#lc=ListOffers-Score3-18
225E7DFA0B9505C861373E686DCF3405,"Visitador médico con 1 año de experiencia en esta labor, se aceptan desde estudiantes",Confidencial / No especificada,"Bucaramanga, Santander",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,3583000.0,3.583,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-visitador-medico-con-1-ano-de-experiencia-en-esta-labor-se-aceptan-desde-estudiantes-de-8-semestre-carrera-profesional-en-bucaramanga-225E7DFA0B9505C861373E686DCF3405#lc=ListOffers-Score3-0
AC49CD151C0B224C61373E686DCF3405,Visitador/a Medico/a,Confidencial / No especificada,"Bucaramanga, Santander",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,,,Excel Avanzado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-visitadora-medicoa-en-bucaramanga-AC49CD151C0B224C61373E686DCF3405#lc=ListOffers-Score3-1
968C944FFE0F865261373E686DCF3405,Joven investigadora,RYMEL INGENIERIA ELECTRICA S . A . S .,"Copacabana, Antioquia",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,2799998.0,2.799998,Machine Learning General,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-joven-investigadora-copacabana-en-copacabana-968C944FFE0F865261373E686DCF3405#lc=ListOffers-Score3-6
